t (s),v (m/s)
1043.291937,10.06000042
1044.277792,10.15999985
1045.29053,10.10999966
1046.276868,9.93999958
1047.295253,9.68999958
1048.309611,9.75
1049.28467,9.520000458
1050.291162,9.260000229
1051.309212,9.470000267
1052.298812,9.210000038
1053.285079,8.880000114
1054.289543,9.569999695
1055.304974,10.25
1056.288031,10.22999954
1057.284366,10
1058.297848,10.31000042
1059.302146,10.31000042
1060.291099,10.23999977
1061.289613,10.11999989
1062.298132,10.15999985
1063.291267,9.829999924
1064.292035,9.43999958
1065.298419,9.68999958
1066.297174,9.220000267
1067.300262,9.489999771
1068.291429,9.680000305
1069.290228,9.800000191
1070.295973,9.739999771
1071.293211,9.529999733
1072.29417,9.649999619
1073.290721,9.699999809
1074.280138,9.399999619
1075.305955,9.579999924
1076.302148,9.5
1077.305673,10.09000015
1078.293143,10.26000023
1079.301792,10.26000023
1080.305873,10.18999958
1081.303458,10.07999992
1082.286223,10.36999989
1083.28331,10.40999985
1084.290178,10.51000023
1085.280015,10.92000008
1086.302443,10.72999954
1087.312474,11.52000046
1088.294879,11.31999969
1089.287174,11.90999985
1090.292243,12.57999992
1091.300542,12.63000011
1092.302476,12.68999958
1093.294561,13.09000015
1094.303987,13.44999981
1095.302493,14.17000008
1096.288256,14.63000011
1097.296175,15.09000015
1098.286891,15.48999977
1099.301006,15.61999989
1100.302487,15.75
1101.290513,15.93000031
1102.307089,16.10000038
1103.302565,16.28000069
1104.301059,16.45999908
1105.292382,16.64999962
1106.286298,16.78000069
1107.301395,17.05999947
1108.293861,17.71999931
1109.296523,17.95999908
1110.305972,18.46999931
1111.28689,18.79000092
1112.305751,18.70000076
1113.293449,19.29999924
1114.291425,19.36000061
1115.300949,17.94000053
1116.288873,17.77000046
1117.298329,17.04000092
1118.300676,17.40999985
1119.302597,18.37000084
1120.298598,18.71999931
1121.291443,18.37000084
1122.286417,17.72999954
1123.281245,18.05999947
1124.281865,17.68000031
1125.300331,18.44000053
1126.290484,17.69000053
1127.29142,17.18000031
1128.294411,16.78000069
1129.293212,15.92000008
1130.28855,15.43000031
1131.297484,14.56999969
1132.289927,13.65999985
1133.296795,13.14000034
1134.297725,13.25
1135.291549,13.43999958
1136.293569,13.68000031
1137.304663,13.89999962
1138.287582,14.14999962
1139.306404,14.36999989
1140.293713,14.52999973
1141.301212,14.61999989
